Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
take (n/2)/1000/Vector,4.770150648954955e-7,4.765824903734132e-7,4.776632570054011e-7,1.3352955260388894e-9,9.438967870350145e-10,1.8093172946074537e-9
take (n/2)/1000/PVector,9.485300756295438e-6,9.32114155582567e-6,9.84966178841687e-6,5.532622841192871e-7,2.713773693501092e-7,1.0110609141591656e-6
take (n/2)/1000/Seq,1.6817207775533624e-6,1.6785392399376822e-6,1.6846713813162105e-6,8.045134108196073e-9,5.584236251625989e-9,1.1786424873898374e-8
take (n/2)/10000/[],2.4799257999822076e-5,2.4539997105051717e-5,2.546067506468455e-5,9.679764382813947e-7,4.078221636796573e-7,1.8750375472156791e-6
take (n/2)/10000/Vector,4.638049474892201e-6,4.633866996060363e-6,4.6456431143782734e-6,1.369681533175685e-8,8.77287352664467e-9,1.940886783533068e-8
take (n/2)/10000/PVector,1.0256024013454702e-4,1.0246763559291079e-4,1.0267489959866393e-4,2.6498377822975867e-7,2.1055777101984793e-7,3.5148744563588646e-7
take (n/2)/10000/Seq,1.5894118311851622e-5,1.588039552565345e-5,1.5911199648963947e-5,3.833350589634307e-8,2.6271743297432313e-8,6.192245273615749e-8
append/100/[],6.734965332372812e-7,6.729434775835556e-7,6.741843240744498e-7,1.5833563283850835e-9,1.2836193596687003e-9,2.00664897159364e-9
append/100/Vector,3.3540306685035554e-7,3.3482932125314375e-7,3.3589474540589076e-7,1.35232402009476e-9,1.0461644903793779e-9,1.97895508031202e-9
append/100/PVector,1.4648478240964588e-6,1.4638670897277445e-6,1.4669836031104576e-6,3.5336911920653667e-9,2.158267838034243e-9,5.702787294891493e-9
append/100/Seq,6.653437946252231e-7,6.649107402287969e-7,6.659054477338395e-7,1.242883335486813e-9,9.914098461683505e-10,1.620791931010167e-9
append/1000/[],6.7573391766142966e-6,6.749731173966092e-6,6.769497887174849e-6,2.3167274249431985e-8,1.5317788405526805e-8,3.184250447669237e-8
append/1000/Vector,2.9841489708133853e-6,2.9803193360979923e-6,2.9882382930268543e-6,1.0237549671250174e-8,8.236934258546909e-9,1.283228899598449e-8
append/1000/PVector,1.0926566815306928e-5,1.0910566965701e-5,1.0957454560693123e-5,5.462467138888412e-8,1.989665379574824e-8,8.35495312795262e-8
append/1000/Seq,6.398068451378707e-6,6.376152329270934e-6,6.424328944767888e-6,6.024802356325987e-8,4.059442167472331e-8,8.344345007885951e-8
append/10000/[],6.722861434492981e-5,6.709110267945435e-5,6.742673672183455e-5,4.01955064461457e-7,3.1406498529569944e-7,6.073880130712096e-7
append/10000/Vector,3.0867425253294216e-5,3.07237675437925e-5,3.106490965200771e-5,4.294700443196842e-7,2.79564520848027e-7,6.009900933091017e-7
